signal_id,signal_date,signal_type,ticker,sector,industry,market_cap_b,spot_price_at_signal,direction,trend,conviction,side,primary_target,primary_date,range_low,range_high,range_date_earliest,range_date_latest,top3_concentration_pct,total_candidate_premium,avg_days_oi_increases,in_industry_handoff,in_top50,macro_regime
20260503_XHR_sun_call,2026-05-03,sunday,XHR,Real Estate,REIT - Hotel & Motel,0.0,16.71,BULLISH,HOLDING,LOW,call,2.5,2026-05-15,2.5,15.0,2026-05-15,2026-05-15,100.0,1665.0,0.0,True,False,RISK-ON
20260503_PBR_sun_call,2026-05-03,sunday,PBR,,,,21.9,BULLISH,HOLDING,MODERATE,call,17.0,2026-05-15,16.0,21.0,2026-05-15,2026-07-17,68.74,11023153.17,0.0,False,False,RISK-ON
20260503_TTE_sun_call,2026-05-03,sunday,TTE,,,,92.78,BULLISH,HOLDING,LOW,call,92.5,2026-05-15,80.0,95.0,2026-05-15,2026-06-18,64.17,1351893.04,1.33,False,False,RISK-ON
20260503_CRWV_sun_call,2026-05-03,sunday,CRWV,Technology,Software - Infrastructure,0.0,119.3,BULLISH,HOLDING,LOW,call,130.0,2026-06-18,120.0,130.0,2026-05-15,2026-06-18,39.91,51928333.0,1.0,True,False,RISK-ON
20260503_GNK_sun_call,2026-05-03,sunday,GNK,Industrials,Marine Shipping,0.0,24.53,BULLISH,HOLDING,LOW,call,22.5,2026-05-15,22.5,22.5,2026-05-15,2026-05-15,100.0,752.5,0.0,False,False,RISK-ON
20260503_LION_sun_put,2026-05-03,sunday,LION,,,,13.1492,BEARISH,HOLDING,LOW,put,13.0,2026-06-18,12.0,13.0,2026-05-15,2026-06-18,96.83,1333206.72,0.33,False,False,RISK-ON
20260503_HLX_sun_call,2026-05-03,sunday,HLX,Energy,Oil & Gas Equipment & Services,0.0,10.29,BULLISH,HOLDING,LOW,call,11.0,2026-06-18,1.0,11.0,2026-05-15,2026-06-18,93.87,19633.69,0.33,False,False,RISK-ON
20260503_SND_sun_call,2026-05-03,sunday,SND,Energy,Oil & Gas Equipment & Services,0.0,5.29,BULLISH,HOLDING,LOW,call,5.0,2026-05-15,5.0,7.5,2026-05-15,2026-06-18,100.0,20888.71,0.0,False,False,RISK-ON
20260503_EPM_sun_call,2026-05-03,sunday,EPM,Energy,Oil & Gas E&P,0.0,4.8561,BULLISH,HOLDING,LOW,call,5.0,2026-07-17,5.0,5.0,2026-07-17,2026-07-17,100.0,5545.0,3.0,False,False,RISK-ON
20260503_PR_sun_call,2026-05-03,sunday,PR,Energy,Oil & Gas E&P,0.0,22.12,BULLISH,HOLDING,LOW,call,15.0,2026-05-15,15.0,24.0,2026-05-15,2026-05-15,52.23,422282.02,0.0,False,False,RISK-ON
20260503_VNOM_sun_call,2026-05-03,sunday,VNOM,Energy,Oil & Gas Midstream,0.0,49.9,BULLISH,HOLDING,LOW,call,47.0,2026-05-15,47.0,50.0,2026-05-15,2026-06-18,60.78,226301.15,1.67,False,False,RISK-ON
20260503_CVI_sun_put,2026-05-03,sunday,CVI,Energy,Oil & Gas Refining & Marketing,0.0,33.4644,BEARISH,HOLDING,LOW,put,32.5,2026-05-15,27.5,32.5,2026-05-15,2026-05-15,69.56,41267.5,2.67,False,False,RISK-ON
20260503_GPRE_sun_call,2026-05-03,sunday,GPRE,Basic Materials,Chemicals,0.0,17.76,BULLISH,HOLDING,LOW,call,17.0,2026-05-15,17.0,20.0,2026-05-15,2026-05-15,95.58,1395485.0,1.67,False,False,RISK-ON
20260503_PARR_sun_call,2026-05-03,sunday,PARR,Energy,Oil & Gas Refining & Marketing,0.0,65.35,BULLISH,HOLDING,LOW,call,70.0,2026-05-15,60.0,70.0,2026-05-15,2026-07-17,53.32,326387.5,2.0,False,False,RISK-ON
20260503_IMPP_sun_call,2026-05-03,sunday,IMPP,,,,4.9,BULLISH,HOLDING,LOW,call,5.0,2026-07-17,4.0,5.0,2026-06-18,2026-07-17,92.6,25331.84,1.0,False,False,RISK-ON
20260503_TEN_sun_call,2026-05-03,sunday,TEN,,,,42.4,BULLISH,HOLDING,LOW,call,45.0,2026-05-15,40.0,45.0,2026-05-15,2026-06-18,87.34,268921.41,2.33,False,False,RISK-ON
20260503_PHVS_sun_put,2026-05-03,sunday,PHVS,,,,29.44,BEARISH,HOLDING,LOW,put,30.0,2026-05-15,30.0,30.0,2026-05-15,2026-05-15,100.0,11690.0,1.0,False,False,RISK-ON
20260503_MKSI_sun_call,2026-05-03,sunday,MKSI,Technology,Scientific & Technical Instruments,0.0,279.38,BULLISH,HOLDING,LOW,call,270.0,2026-05-15,260.0,280.0,2026-05-15,2026-07-17,47.47,643150.0,0.33,False,False,RISK-ON
20260503_UMC_sun_put,2026-05-03,sunday,UMC,,,,13.0978,BEARISH,HOLDING,LOW,put,12.0,2026-07-17,12.0,14.0,2026-05-15,2026-07-17,72.05,238567.94,3.33,False,False,RISK-ON
20260503_AMH_sun_call,2026-05-03,sunday,AMH,Real Estate,REIT - Residential,0.0,31.95,BULLISH,HOLDING,LOW,call,30.0,2026-06-18,30.0,35.0,2026-06-18,2026-06-18,100.0,864.0,0.0,False,False,RISK-ON
20260503_CE_sun_call,2026-05-03,sunday,CE,Basic Materials,Chemicals,0.0,69.24,BULLISH,HOLDING,LOW,call,75.0,2026-05-15,55.0,75.0,2026-05-15,2026-06-18,62.63,995331.92,0.33,False,False,RISK-ON
20260503_ECVT_sun_call,2026-05-03,sunday,ECVT,Basic Materials,Specialty Chemicals,0.0,14.36,BULLISH,HOLDING,LOW,call,15.0,2026-06-18,15.0,15.0,2026-05-15,2026-06-18,100.0,25778.33,0.5,False,False,RISK-ON
20260503_OSW_sun_call,2026-05-03,sunday,OSW,,,,25.21,BULLISH,HOLDING,LOW,call,20.0,2026-06-18,20.0,20.0,2026-06-18,2026-06-18,100.0,2130.0,0.0,False,False,RISK-ON
20260503_FERG_sun_call,2026-05-03,sunday,FERG,Industrials,Industrial Distribution,0.0,264.27,BULLISH,HOLDING,LOW,call,270.0,2026-05-15,270.0,290.0,2026-05-15,2026-05-15,100.0,52592.5,1.33,False,False,RISK-ON
20260503_NPKI_sun_call,2026-05-03,sunday,NPKI,Energy,Oil & Gas Equipment & Services,0.0,15.574,BULLISH,HOLDING,LOW,call,15.0,2026-05-15,15.0,17.5,2026-05-15,2026-05-15,100.0,26075.0,0.5,False,False,RISK-ON
20260503_MRTN_sun_call,2026-05-03,sunday,MRTN,Industrials,Trucking,0.0,15.15,BULLISH,HOLDING,LOW,call,2.5,2026-05-15,2.5,2.5,2026-05-15,2026-05-15,100.0,2580.0,0.0,False,False,RISK-ON
20260503_RXO_sun_put,2026-05-03,sunday,RXO,Industrials,Trucking,0.0,19.59,BEARISH,HOLDING,LOW,put,17.5,2026-05-15,15.0,17.5,2026-05-15,2026-06-18,99.62,57512.5,0.33,False,False,RISK-ON
20260503_VOD_sun_put,2026-05-03,sunday,VOD,,,,16.15,BEARISH,HOLDING,LOW,put,16.0,2026-05-29,15.0,16.0,2026-05-29,2026-07-17,93.81,222240.0,0.33,False,False,RISK-ON
20260504_NVDA_sun_call,2026-05-04,sunday,NVDA,Technology,Semiconductors,0.005,198.12,BULLISH,HOLDING,LOW,call,210.0,2026-05-15,200.0,210.0,2026-05-15,2026-06-18,34.72,582177417.52,0.67,False,True,RISK-ON
20260504_AAPL_sun_call,2026-05-04,sunday,AAPL,Technology,Consumer Electronics,0.004,280.07,BULLISH,HOLDING,LOW,call,270.0,2026-05-15,270.0,280.0,2026-05-15,2026-06-18,34.03,228279639.0,2.33,False,True,RISK-ON
20260504_INTC_sun_call,2026-05-04,sunday,INTC,Technology,Semiconductors,0.001,100.77,BULLISH,HOLDING,LOW,call,70.0,2026-05-15,60.0,70.0,2026-05-15,2026-06-18,27.34,252426368.0,0.0,False,True,RISK-ON
20260504_PLTR_sun_call,2026-05-04,sunday,PLTR,Technology,Software - Infrastructure,0.0,144.41,BULLISH,HOLDING,LOW,call,150.0,2026-05-15,150.0,160.0,2026-05-15,2026-06-18,40.46,52875234.5,0.67,True,True,RISK-ON
20260504_GPI_sun_put,2026-05-04,sunday,GPI,Consumer Cyclical,Auto & Truck Dealerships,0.0,353.67,BEARISH,HOLDING,LOW,put,340.0,2026-05-15,340.0,370.0,2026-05-15,2026-06-18,75.52,13825.0,0.33,False,False,RISK-ON
20260505_NVDA_sun_call,2026-05-05,sunday,NVDA,Technology,Semiconductors,0.005,196.5903,BULLISH,HOLDING,LOW,call,210.0,2026-05-15,200.0,210.0,2026-05-15,2026-07-17,33.53,665494595.0,0.67,False,True,TRANSITIONAL
